category,Closed,In Progress,Long Term Solution,Non Relevant,ReOpen,Registered,Unknown,total,closed,non_closed,non_closed_rate_percent
Call Center,0,0,0,0,0,72,0,72,0,72,100.0
Others,1,1,0,0,0,2064,0,2066,1,2065,99.95
Estate,2,0,0,35,0,23,0,60,2,58,96.67
CORONA COVID19,1,0,0,0,0,17,0,18,1,17,94.44
BBMP Election Branch,1,0,0,1,0,5,0,7,1,6,85.71
Town Planning,98,0,0,291,2,181,0,572,98,474,82.87
Education,3,0,0,1,0,10,0,14,3,11,78.57
Storm  Water Drain(SWD),213,0,16,217,20,521,0,987,213,774,78.42
Projects Central,23,0,1,0,1,34,1,60,23,37,61.67
Water Crisis,103,0,0,148,0,10,0,261,103,158,60.54
Lakes,138,0,1,37,3,139,0,318,138,180,56.6
Traffic Engineer Cell (TEC),67,0,1,0,3,82,0,153,67,86,56.21
Optical Fiber Cables (OFC),21,0,0,6,1,12,0,40,21,19,47.5
Road Infrastructure,1526,7,45,6,64,1014,0,2662,1526,1136,42.67
Road Maintenance(Engg),8189,11,4,3449,581,1881,9,14124,8189,5935,42.02
Plastic,19,1,0,3,1,5,0,29,19,10,34.48
Parks and Play grounds,520,0,0,70,0,192,3,785,520,265,33.76
Welfare Schemes,24,0,0,0,1,7,0,32,24,8,25.0
Indira Canteen,132,2,0,3,1,35,2,175,132,43,24.57
Sanitation,238,2,0,40,8,23,0,311,238,73,23.47
Information Technology,54,0,0,4,3,5,0,66,54,12,18.18
Forest,5382,0,0,3,161,774,5,6325,5382,943,14.91
Health Dept,2878,12,0,188,28,266,6,3378,2878,500,14.8
Advertisement,641,0,0,9,3,46,0,699,641,58,8.3
Revenue Department,1188,0,0,9,19,67,0,1283,1188,95,7.4
E khata / Khata services,3897,0,0,7,40,245,1,4190,3897,293,6.99
veterinary,7154,53,0,15,108,338,9,7677,7154,523,6.81
Solid Waste (Garbage) Related,35957,87,0,553,314,1227,13,38151,35957,2194,5.75
Property Tax services,119,0,0,0,0,5,1,125,119,6,4.8
Markets,189,0,0,1,1,5,0,196,189,7,3.57
Electrical,40632,183,52,22,293,952,4,42138,40632,1506,3.57
