category,complaints,share_percent
Electrical,42138,33.19
Solid Waste (Garbage) Related,38151,30.05
Road Maintenance(Engg),14124,11.12
veterinary,7677,6.05
Forest,6325,4.98
E khata / Khata services,4190,3.3
Health Dept,3378,2.66
Road Infrastructure,2662,2.1
Others,2066,1.63
Revenue Department,1283,1.01
Storm  Water Drain(SWD),987,0.78
Parks and Play grounds,785,0.62
Advertisement,699,0.55
Town Planning,572,0.45
Lakes,318,0.25
Sanitation,311,0.24
Water Crisis,261,0.21
Markets,196,0.15
Indira Canteen,175,0.14
Traffic Engineer Cell (TEC),153,0.12
Property Tax services,125,0.1
Call Center,72,0.06
Information Technology,66,0.05
Estate,60,0.05
Projects Central,60,0.05
Optical Fiber Cables (OFC),40,0.03
Welfare Schemes,32,0.03
Plastic,29,0.02
CORONA COVID19,18,0.01
Education,14,0.01
BBMP Election Branch,7,0.01
