column,data_type,non_null_count,unique_values
complaint_id,int64,126974,126974
category,string,126974,31
sub_category,string,126974,179
grievance_date,datetime64[ns],126974,73880
ward_name,string,126974,199
grievance_status,string,126974,7
staff_remarks,string,126974,12719
staff_name,string,126974,1267
year,int32,126974,1
month,int32,126974,6
month_name,str,126974,6
quarter,string,126974,2
day_of_week,str,126974,7
week,Int64,126974,25
is_closed,int64,126974,2
is_reopened,int64,126974,2
is_open,int64,126974,2
category_complaint_count,int64,126974,30
ward_complaint_count,int64,126974,181
ward_category_count,int64,126974,309
