sub_category,complaints,share_percent
Street Light Not Working,39847,31.38
Garbage dump,16137,12.71
Garbage vehicle not arrived,12135,9.56
Sweeping not done,3641,2.87
Road side drains,3269,2.57
obstructions Branches / Trees.,3161,2.49
Potholes,3088,2.43
Removal of dead/fallen trees,2884,2.27
Stray dog related complaints,2775,2.19
Road Infrastructure,2662,2.1
Others,2103,1.66
Debris Removal / Construction Material,1900,1.5
Garbage dumping in vacant sites,1621,1.28
Dead animal(s),1487,1.17
footpath encroachment,1360,1.07
water stagnation,1280,1.01
Burning of Garbage in Open Space,1248,0.98
Road cutting,1183,0.93
Dengue positive,1134,0.89
Requirement For New Street Lights,1111,0.87
Animal Rescue - Not well - Requires attention,1064,0.84
Animal birth control/neutering of stray dogs,975,0.77
Footpath,971,0.76
Ekhata missing in online,957,0.75
ekhata approval pending with ARO,944,0.74
Other Khata / ekhata issues,871,0.69
UnAuthorised Constructions,778,0.61
Increase in mosquito density,774,0.61
Fatally injured - Needs immediate attention,707,0.56
Stray/Rabid dog bite,702,0.55
Complaint against SW collector/ SWM official for violation of SWM Rules,702,0.55
"Khata Services (Registration, Transfer, Bifurcation and Amalgamation)",701,0.55
Flex and banners,634,0.5
Street Lights Switched On During Day Time,611,0.48
Garbage transfer not as per norms & area not kept clean,560,0.44
Maintenance of SWD,547,0.43
Air/Noise pollution,504,0.4
Issues Related to Parks/Medians/Circles/Island.,497,0.39
Ekhata - name correction,484,0.38
Anti Rabies Vaccination of stray dogs,365,0.29
Fogging,356,0.28
Sewerage water left in SWD,290,0.23
Ekhata Other corrections,283,0.22
Public dustbins not cleaned,282,0.22
Garbage nuisance while transporting,281,0.22
Issues related Snakes/Birds/Monkeys,280,0.22
UnAuthorised Building Constructions,275,0.22
Spraying,274,0.22
Park Lights Not Working,262,0.21
Water related issue,261,0.21
water leakage on road,226,0.18
Encroachment,222,0.17
Stray cattle related complaints,215,0.17
Others (JC),205,0.16
Unhygienic premises in Hotel etc,200,0.16
Urination in Public/Open Defecation,197,0.16
Discrepancy In Khata Certificate and Khata Extract,192,0.15
Construction not done as per approved plan (Building Bye Law Violations),192,0.15
Technical Issue In Ekhata,188,0.15
Mutton/Chicken/fish stall Unhygienic maintenance,182,0.14
Earthing Issue relate to Electric Poles/Panel Boards,177,0.14
Gym/Children Play equipment in the parks,167,0.13
Khata / Ekhata mutation / transfer,157,0.12
TEC,153,0.12
Garbage thrown in storm water drain,150,0.12
Open Electrical Junction Box,131,0.1
Unable to generate the property tax challan,127,0.1
Lake not maintained properly,123,0.1
shifting of the street dogs to other places,104,0.08
Ekhata Area Correction,101,0.08
Overhanging cables,95,0.07
"Dog, cat Poor conditions / Breeding license validation",92,0.07
