ward_name,category,complaints
Jnanabharathi Ward,Electrical,1392
Someshwara,Solid Waste (Garbage) Related,1173
Ullalu,Electrical,1063
Hemmigepura,Electrical,1029
Thanisandra,Solid Waste (Garbage) Related,1025
Rajarajeshwari Nagar,Electrical,1007
Dodda Bidarkallu,Electrical,1004
Jakkur,Electrical,982
Horamavu,Electrical,927
Uttarahalli,Electrical,894
Begur,Electrical,890
Gottigere,Solid Waste (Garbage) Related,866
Horamavu,Solid Waste (Garbage) Related,865
Thanisandra,Electrical,795
Herohalli,Electrical,767
Bellandur,Solid Waste (Garbage) Related,737
Vidyaranyapura,Electrical,701
Banaswadi,Solid Waste (Garbage) Related,700
Yelachenahalli,Solid Waste (Garbage) Related,697
Hoodi,Electrical,694
Jnanabharathi Ward,Solid Waste (Garbage) Related,690
Rajarajeshwari Nagar,Solid Waste (Garbage) Related,613
Vasanthapura,Electrical,606
Hemmigepura,Solid Waste (Garbage) Related,588
Hoodi,Solid Waste (Garbage) Related,578
Kottigepalya,Electrical,567
Giri Nagar,Solid Waste (Garbage) Related,556
Shettyhalli,Electrical,542
Singasandra,Electrical,539
Ramamurthy Nagar,Solid Waste (Garbage) Related,536
Kumaraswamy Layout,Solid Waste (Garbage) Related,529
Gottigere,Electrical,529
HSR Layout,Solid Waste (Garbage) Related,518
Kavalbyrasandra,Solid Waste (Garbage) Related,505
Manorayanapalya,Solid Waste (Garbage) Related,490
Byatarayanapura,Electrical,488
Horamavu,Road Maintenance(Engg),487
Padmanabha Nagar,Solid Waste (Garbage) Related,484
Jakkur,Solid Waste (Garbage) Related,477
Kottigepalya,Solid Waste (Garbage) Related,473
Kengeri,Electrical,467
Jayangar,Solid Waste (Garbage) Related,463
Basavanapura,Solid Waste (Garbage) Related,461
Banaswadi,Electrical,458
Ramamurthy Nagar,Electrical,458
Varthur,Solid Waste (Garbage) Related,456
BTM Layout,Electrical,456
HBR Layout,Electrical,455
Vignana Nagar,Solid Waste (Garbage) Related,450
Someshwara,Electrical,419
Kodigehalli,Solid Waste (Garbage) Related,418
Doddanekkundi,Solid Waste (Garbage) Related,413
Vishwanathnagenahalli,Solid Waste (Garbage) Related,410
Chikpete,Solid Waste (Garbage) Related,392
Benniganahalli,Solid Waste (Garbage) Related,391
Kuvempu Nagar,Electrical,389
Begur,Solid Waste (Garbage) Related,384
Uttarahalli,Solid Waste (Garbage) Related,371
Vasanthapura,Solid Waste (Garbage) Related,365
Begur,Road Maintenance(Engg),363
Bagalagunte,Electrical,363
Ullalu,Solid Waste (Garbage) Related,346
Kuvempu Nagar,Solid Waste (Garbage) Related,344
Vidyaranyapura,Solid Waste (Garbage) Related,340
Konanakunte,Electrical,335
K.R.Puram,Solid Waste (Garbage) Related,333
Kadugondanahalli,Solid Waste (Garbage) Related,328
Kodigehalli,Electrical,325
Jakkur,Road Maintenance(Engg),325
Hampi Nagar,Electrical,320
Kempegowda Ward,Electrical,319
Hagadooru,Solid Waste (Garbage) Related,314
Konanakunte,Solid Waste (Garbage) Related,313
Anjanapur,Electrical,310
Kavalbyrasandra,Electrical,308
Byatarayanapura,Solid Waste (Garbage) Related,301
Doddanekkundi,Road Maintenance(Engg),299
Attiguppe,Solid Waste (Garbage) Related,299
Hoysala Nagar,Electrical,297
Varthur,Electrical,296
Uttarahalli,Road Maintenance(Engg),294
Sanjay Nagar,Electrical,291
Arakere,Solid Waste (Garbage) Related,291
HSR Layout,Electrical,288
