ward,complaints,share_percent
Horamavu,3128,2.46
Jnanabharathi Ward,2842,2.24
Thanisandra,2480,1.95
Hemmigepura,2415,1.9
Jakkur,2408,1.9
Rajarajeshwari Nagar,2401,1.89
Begur,2338,1.84
Bellandur,2257,1.78
Someshwara,2114,1.66
Uttarahalli,2072,1.63
Hoodi,1956,1.54
Ullalu,1905,1.5
Gottigere,1866,1.47
Dodda Bidarkallu,1818,1.43
Banaswadi,1707,1.34
Varthur,1598,1.26
Ramamurthy Nagar,1583,1.25
Vasanthapura,1566,1.23
HSR Layout,1522,1.2
Doddanekkundi,1514,1.19
Kottigepalya,1512,1.19
Vidyaranyapura,1467,1.16
Herohalli,1446,1.14
Singasandra,1405,1.11
Basavanapura,1269,1.0
Byatarayanapura,1245,0.98
Hagadooru,1245,0.98
HBR Layout,1236,0.97
Kodigehalli,1190,0.94
Yelachenahalli,1184,0.93
Shettyhalli,1116,0.88
Giri Nagar,1051,0.83
Vignana Nagar,1051,0.83
Konanakunte,1047,0.82
Arakere,1035,0.82
Kengeri,1028,0.81
Kavalbyrasandra,1027,0.81
Kuvempu Nagar,1023,0.81
BTM Layout,1009,0.79
Benniganahalli,998,0.79
K.R.Puram,922,0.73
Padmanabha Nagar,907,0.71
Kumaraswamy Layout,899,0.71
Anjanapur,878,0.69
Chikpete,860,0.68
Shanthala Nagar,860,0.68
Bagalagunte,838,0.66
Kadugodi,833,0.66
Hoysala Nagar,816,0.64
Bilekahalli,814,0.64
Vishwanathnagenahalli,798,0.63
Jayangar,789,0.62
J.P.Nagar,737,0.58
Kempegowda Ward,734,0.58
Manorayanapalya,725,0.57
Vidyapeetha,725,0.57
Attiguppe,720,0.57
Pattabhiram Nagar,702,0.55
Sarakki,688,0.54
Mangammanapalya,686,0.54
Newthippasandra,647,0.51
Yelahanka old Satellite Town,638,0.5
Maruthi Seva Nagar,635,0.5
Sanjay Nagar,630,0.5
C.V.Raman Nagar,620,0.49
Sunkenahalli,618,0.49
Visvesvarapuram,613,0.48
Garudacharpalya,609,0.48
Katriguppe,604,0.48
Hampi Nagar,598,0.47
Bommanahalli,574,0.45
Basavanagudi,567,0.45
Koramangala,567,0.45
Sampangiram Nagar,566,0.45
Nagapura,552,0.43
Hombegowda Nagar,544,0.43
Hebbal,539,0.42
Kadugondanahalli,535,0.42
Laggere,525,0.41
Shakambari Nagar,521,0.41
Nagavara,507,0.4
Kacharakanahalli,504,0.4
Ganeshmandira Ward,496,0.39
Marathalli,494,0.39
Peenya Industrial Area,491,0.39
Malleshwaram,490,0.39
